month,hbt,departmenttype,attendances,within_4h,over_4h,over_8h,over_12h,pct_within_4h,pct_over_4h,pct_over_8h,pct_over_12h,total_referral_attendances
2007-07-01,S08000015,Type 1,8944,8645,299,29.0,25.0,0.9666,0.0334,0.0032,0.0028,
2007-07-01,S08000015,Type 3,344,344,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-07-01,S08000016,Type 1,1823,1804,19,0.0,0.0,0.9896,0.0104,0.0,0.0,
2007-07-01,S08000016,Type 3,243,243,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-07-01,S08000017,Type 1,4159,4029,130,0.0,0.0,0.9687,0.0313,0.0,0.0,
2007-07-01,S08000017,Type 3,261,261,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-07-01,S08000019,Type 1,4195,4003,192,5.0,1.0,0.9542,0.0458,0.0012,0.0002,
2007-07-01,S08000019,Type 3,1772,1768,4,0.0,0.0,0.9977,0.0023,0.0,0.0,
2007-07-01,S08000020,Type 1,8570,8342,228,9.0,1.0,0.9734,0.0266,0.0011,0.0001,
2007-07-01,S08000020,Type 3,3512,3503,9,0.0,0.0,0.9974,0.0026,0.0,0.0,
2007-07-01,S08000022,Type 1,4626,4531,95,3.0,1.0,0.9795,0.0205,0.0006,0.0002,
2007-07-01,S08000022,Type 3,3838,3817,21,0.0,0.0,0.9945,0.0055,0.0,0.0,
2007-07-01,S08000024,Type 1,15467,14713,754,21.0,0.0,0.9513,0.0487,0.0014,0.0,
2007-07-01,S08000024,Type 3,2761,2600,161,4.0,0.0,0.9417,0.0583,0.0014,0.0,
2007-07-01,S08000025,Type 3,225,225,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-07-01,S08000026,Type 1,802,791,11,0.0,0.0,0.9863,0.0137,0.0,0.0,
2007-07-01,S08000028,Type 1,776,762,14,1.0,0.0,0.982,0.018,0.0013,0.0,
2007-07-01,S08000028,Type 3,192,192,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-07-01,S08000029,Type 1,7550,7273,277,8.0,1.0,0.9633,0.0367,0.0011,0.0001,
2007-07-01,S08000029,Type 3,456,456,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-07-01,S08000030,Type 1,6148,6119,29,0.0,0.0,0.9953,0.0047,0.0,0.0,
2007-07-01,S08000030,Type 3,2268,2266,2,0.0,0.0,0.9991,0.0009,0.0,0.0,
2007-07-01,S08000031,Type 1,35833,34354,1479,58.0,8.0,0.9587,0.0413,0.0016,0.0002,
2007-07-01,S08000031,Type 3,1382,1354,28,1.0,1.0,0.9797,0.0203,0.0007,0.0007,
2007-07-01,S08000032,Type 1,15762,15064,698,134.0,65.0,0.9557,0.0443,0.0085,0.0041,
2007-07-01,S08000032,Type 3,331,331,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-08-01,S08000015,Type 1,9213,8896,317,6.0,3.0,0.9656,0.0344,0.0007,0.0003,
2007-08-01,S08000015,Type 3,351,351,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-08-01,S08000016,Type 1,2005,1993,12,0.0,0.0,0.994,0.006,0.0,0.0,
2007-08-01,S08000016,Type 3,270,270,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-08-01,S08000017,Type 1,4279,4151,128,2.0,0.0,0.9701,0.0299,0.0005,0.0,
2007-08-01,S08000017,Type 3,241,241,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-08-01,S08000019,Type 1,4370,4055,315,10.0,0.0,0.9279,0.0721,0.0023,0.0,
2007-08-01,S08000019,Type 3,1872,1870,2,0.0,0.0,0.9989,0.0011,0.0,0.0,
2007-08-01,S08000020,Type 1,8738,8454,284,11.0,1.0,0.9675,0.0325,0.0013,0.0001,
2007-08-01,S08000020,Type 3,3458,3453,5,0.0,0.0,0.9986,0.0014,0.0,0.0,
2007-08-01,S08000022,Type 1,4950,4840,110,3.0,0.0,0.9778,0.0222,0.0006,0.0,
2007-08-01,S08000022,Type 3,3885,3850,35,0.0,0.0,0.991,0.009,0.0,0.0,
2007-08-01,S08000024,Type 1,16384,15379,1005,57.0,1.0,0.9387,0.0613,0.0035,0.0001,
2007-08-01,S08000024,Type 3,2972,2784,188,8.0,0.0,0.9367,0.0633,0.0027,0.0,
2007-08-01,S08000025,Type 3,237,237,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-08-01,S08000026,Type 1,745,727,18,1.0,1.0,0.9758,0.0242,0.0013,0.0013,
2007-08-01,S08000028,Type 1,767,742,25,0.0,0.0,0.9674,0.0326,0.0,0.0,
2007-08-01,S08000028,Type 3,148,147,1,0.0,0.0,0.9932,0.0068,0.0,0.0,
2007-08-01,S08000029,Type 1,7384,7145,239,11.0,3.0,0.9676,0.0324,0.0015,0.0004,
2007-08-01,S08000029,Type 3,406,405,1,0.0,0.0,0.9975,0.0025,0.0,0.0,
2007-08-01,S08000030,Type 1,6372,6321,51,1.0,0.0,0.992,0.008,0.0002,0.0,
2007-08-01,S08000030,Type 3,1812,1809,3,0.0,0.0,0.9983,0.0017,0.0,0.0,
2007-08-01,S08000031,Type 1,36667,34861,1806,71.0,10.0,0.9507,0.0493,0.0019,0.0003,
2007-08-01,S08000031,Type 3,1407,1388,19,0.0,0.0,0.9865,0.0135,0.0,0.0,
2007-08-01,S08000032,Type 1,16139,15746,393,28.0,6.0,0.9756,0.0244,0.0017,0.0004,
2007-08-01,S08000032,Type 3,314,314,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-09-01,S08000015,Type 1,8769,8583,186,0.0,0.0,0.9788,0.0212,0.0,0.0,
2007-09-01,S08000015,Type 3,251,251,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-09-01,S08000016,Type 1,2028,2016,12,0.0,0.0,0.9941,0.0059,0.0,0.0,
2007-09-01,S08000016,Type 3,243,243,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-09-01,S08000017,Type 1,3973,3881,92,0.0,0.0,0.9768,0.0232,0.0,0.0,
2007-09-01,S08000017,Type 3,178,178,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-09-01,S08000019,Type 1,4301,4012,289,10.0,0.0,0.9328,0.0672,0.0023,0.0,
2007-09-01,S08000019,Type 3,1813,1808,5,0.0,0.0,0.9972,0.0028,0.0,0.0,
2007-09-01,S08000020,Type 1,8695,8356,339,22.0,5.0,0.961,0.039,0.0025,0.0006,
2007-09-01,S08000020,Type 3,3428,3424,4,0.0,0.0,0.9988,0.0012,0.0,0.0,
2007-09-01,S08000022,Type 1,4407,4332,75,1.0,0.0,0.983,0.017,0.0002,0.0,
2007-09-01,S08000022,Type 3,3221,3198,23,0.0,0.0,0.9929,0.0071,0.0,0.0,
2007-09-01,S08000024,Type 1,15788,15046,742,29.0,1.0,0.953,0.047,0.0018,0.0001,
2007-09-01,S08000024,Type 3,3001,2785,216,11.0,1.0,0.928,0.072,0.0037,0.0003,
2007-09-01,S08000025,Type 3,242,242,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-09-01,S08000026,Type 1,713,691,22,3.0,2.0,0.9691,0.0309,0.0042,0.0028,
2007-09-01,S08000028,Type 1,689,664,25,0.0,0.0,0.9637,0.0363,0.0,0.0,
2007-09-01,S08000028,Type 3,122,122,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-09-01,S08000029,Type 1,7230,6935,295,15.0,2.0,0.9592,0.0408,0.0021,0.0003,
2007-09-01,S08000029,Type 3,456,455,1,0.0,0.0,0.9978,0.0022,0.0,0.0,
2007-09-01,S08000030,Type 1,6255,6204,51,1.0,0.0,0.9918,0.0082,0.0002,0.0,
2007-09-01,S08000030,Type 3,1983,1980,3,0.0,0.0,0.9985,0.0015,0.0,0.0,
2007-09-01,S08000031,Type 1,35645,34168,1477,48.0,8.0,0.9586,0.0414,0.0013,0.0002,
2007-09-01,S08000031,Type 3,1224,1218,6,0.0,0.0,0.9951,0.0049,0.0,0.0,
2007-09-01,S08000032,Type 1,15758,15334,424,59.0,27.0,0.9731,0.0269,0.0037,0.0017,
2007-09-01,S08000032,Type 3,389,389,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-10-01,S08000015,Type 1,8933,8678,255,4.0,1.0,0.9715,0.0285,0.0004,0.0001,
2007-10-01,S08000015,Type 3,322,322,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-10-01,S08000016,Type 1,1912,1895,17,0.0,0.0,0.9911,0.0089,0.0,0.0,
2007-10-01,S08000016,Type 3,223,223,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-10-01,S08000017,Type 1,3673,3614,59,1.0,0.0,0.9839,0.0161,0.0003,0.0,
2007-10-01,S08000017,Type 3,188,188,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-10-01,S08000019,Type 1,4018,3940,78,3.0,0.0,0.9806,0.0194,0.0007,0.0,
2007-10-01,S08000019,Type 3,1812,1810,2,0.0,0.0,0.9989,0.0011,0.0,0.0,
2007-10-01,S08000020,Type 1,8501,8322,179,9.0,1.0,0.9789,0.0211,0.0011,0.0001,
2007-10-01,S08000020,Type 3,3233,3229,4,0.0,0.0,0.9988,0.0012,0.0,0.0,
2007-10-01,S08000022,Type 1,4124,4085,39,2.0,0.0,0.9905,0.0095,0.0005,0.0,
2007-10-01,S08000022,Type 3,3008,2983,25,0.0,0.0,0.9917,0.0083,0.0,0.0,
2007-10-01,S08000024,Type 1,15798,15162,636,15.0,0.0,0.9597,0.0403,0.0009,0.0,
2007-10-01,S08000024,Type 3,2934,2745,189,8.0,0.0,0.9356,0.0644,0.0027,0.0,
2007-10-01,S08000025,Type 3,199,199,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-10-01,S08000026,Type 1,676,670,6,1.0,0.0,0.9911,0.0089,0.0015,0.0,
2007-10-01,S08000028,Type 1,643,627,16,0.0,0.0,0.9751,0.0249,0.0,0.0,
2007-10-01,S08000028,Type 3,128,128,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-10-01,S08000029,Type 1,7084,6904,180,4.0,0.0,0.9746,0.0254,0.0006,0.0,
2007-10-01,S08000029,Type 3,468,468,0,0.0,0.0,1.0,0.0,0.0,0.0,
2007-10-01,S08000030,Type 1,6162,6096,66,0.0,0.0,0.9893,0.0107,0.0,0.0,
2007-10-01,S08000030,Type 3,1790,1789,1,0.0,0.0,0.9994,0.0006,0.0,0.0,
2007-10-01,S08000031,Type 1,36983,35430,1553,46.0,4.0,0.958,0.042,0.0012,0.0001,
