month,hbt,departmenttype,attendances,within_4h,over_4h,over_8h,over_12h,pct_within_4h,pct_over_4h,pct_over_8h,pct_over_12h,total_referral_attendances
2015-03-01,S08000016,Type 3,35,35,0,,,1.0,0.0,,,
2015-03-01,S08000016,Type 1,2396,2189,207,7.0,0.0,0.9136060100166945,0.08639398998330551,0.002921535893155259,0.0,
2015-03-01,S08000017,Type 3,32,32,0,,,1.0,0.0,,,
2015-03-01,S08000017,Type 3,30,30,0,,,1.0,0.0,,,
2015-03-01,S08000017,Type 3,5,5,0,,,1.0,0.0,,,
2015-03-01,S08000017,Type 3,15,15,0,0.0,0.0,1.0,0.0,0.0,0.0,
2015-03-01,S08000017,Type 1,1005,968,37,2.0,0.0,0.96318407960199,0.03681592039800995,0.001990049751243781,0.0,
2015-03-01,S08000017,Type 1,2871,2780,91,1.0,0.0,0.9683037269244166,0.03169627307558342,0.00034831069313827936,0.0,
2015-03-01,S08000029,Type 1,5308,4747,561,109.0,15.0,0.8943104747550866,0.10568952524491333,0.020535041446872643,0.002825923134890731,
2015-03-01,S08000029,Type 3,133,133,0,,,1.0,0.0,,,
2015-03-01,S08000029,Type 3,336,335,1,,,0.9970238095238095,0.002976190476190476,,,
2015-03-01,S08000029,Type 3,1766,1764,2,0.0,0.0,0.9988674971687429,0.0011325028312570782,0.0,0.0,
2015-03-01,S08000019,Type 3,1467,1467,0,0.0,0.0,1.0,0.0,0.0,0.0,
2015-03-01,S08000019,Type 1,5099,4681,418,27.0,0.0,0.9180231417925083,0.08197685820749166,0.005295155912924103,0.0,
2015-03-01,S08000020,Type 1,4790,4316,474,43.0,2.0,0.9010438413361169,0.09895615866388309,0.008977035490605427,0.0004175365344467641,
2015-03-01,S08000020,Type 1,1731,1688,43,0.0,0.0,0.975158867706528,0.02484113229347198,0.0,0.0,
2015-03-01,S08000020,Type 3,60,60,0,,,1.0,0.0,,,
2015-03-01,S08000020,Type 3,10,10,0,,,1.0,0.0,,,
2015-03-01,S08000020,Type 3,35,35,0,,,1.0,0.0,,,
2015-03-01,S08000020,Type 3,1421,1419,2,,,0.9985925404644617,0.0014074595355383533,,,
2015-03-01,S08000020,Type 3,854,851,3,,,0.9964871194379391,0.00351288056206089,,,
2015-03-01,S08000020,Type 3,276,275,1,,,0.9963768115942029,0.0036231884057971015,,,
2015-03-01,S08000020,Type 3,163,163,0,,,1.0,0.0,,,
2015-03-01,S08000020,Type 3,241,236,5,,,0.979253112033195,0.02074688796680498,,,
2015-03-01,S08000020,Type 1,2034,1959,75,4.0,0.0,0.9631268436578171,0.03687315634218289,0.0019665683382497543,0.0,
2015-03-01,S08000020,Type 3,39,39,0,,,1.0,0.0,,,
2015-03-01,S08000020,Type 3,39,39,0,,,1.0,0.0,,,
2015-03-01,S08000020,Type 3,84,84,0,,,1.0,0.0,,,
2015-03-01,S08000020,Type 3,23,23,0,,,1.0,0.0,,,
2015-03-01,S08000020,Type 3,113,113,0,,,1.0,0.0,,,
2015-03-01,S08000020,Type 3,51,51,0,,,1.0,0.0,,,
2015-03-01,S08000031,Type 3,1361,1258,103,1.0,0.0,0.9243203526818515,0.07567964731814843,0.0007347538574577516,0.0,
2015-03-01,S08000031,Type 1,2646,2418,228,6.0,0.0,0.9138321995464853,0.08616780045351474,0.0022675736961451248,0.0,
2015-03-01,S08000031,Type 1,5673,4870,803,67.0,0.0,0.8584523179975322,0.14154768200246784,0.011810329631588226,0.0,
2015-03-01,S08000031,Type 1,6858,5821,1037,28.0,0.0,0.8487897346165063,0.15121026538349372,0.004082822980460776,0.0,
2015-03-01,S08000031,Type 3,1569,1568,1,0.0,0.0,0.9993626513702996,0.0006373486297004461,0.0,0.0,
2015-03-01,S08000031,Type 1,4959,4250,709,57.0,7.0,0.8570276265376083,0.1429723734623916,0.011494252873563218,0.0014115749142972374,
2015-03-01,S08000031,Type 3,1996,1996,0,0.0,0.0,1.0,0.0,0.0,0.0,
2015-03-01,S08000031,Type 1,3903,3473,430,19.0,0.0,0.8898283371765309,0.11017166282346913,0.004868050217781194,0.0,
2015-03-01,S08000031,Type 1,4413,4364,49,0.0,0.0,0.988896442329481,0.011103557670518922,0.0,0.0,
2015-03-01,S08000031,Type 1,4865,3842,1023,119.0,1.0,0.7897225077081192,0.21027749229188078,0.02446043165467626,0.00020554984583761563,
2015-03-01,S08000022,Type 3,573,569,4,,,0.9930191972076788,0.006980802792321117,,,
2015-03-01,S08000022,Type 3,102,102,0,,,1.0,0.0,,,
2015-03-01,S08000022,Type 3,347,339,8,,,0.9769452449567724,0.023054755043227664,,,
2015-03-01,S08000022,Type 1,543,531,12,0.0,0.0,0.9779005524861878,0.022099447513812154,0.0,0.0,
2015-03-01,S08000022,Type 3,498,494,4,,,0.9919678714859438,0.008032128514056224,,,
2015-03-01,S08000022,Type 3,201,201,0,,,1.0,0.0,,,
2015-03-01,S08000022,Type 1,547,519,28,1.0,0.0,0.9488117001828154,0.051188299817184646,0.0018281535648994515,0.0,
2015-03-01,S08000022,Type 3,23,23,0,,,1.0,0.0,,,
2015-03-01,S08000022,Type 1,2627,2528,99,3.0,0.0,0.9623144271031595,0.037685572896840505,0.0011419870574800152,0.0,
2015-03-01,S08000022,Type 3,450,450,0,,,1.0,0.0,,,
2015-03-01,S08000022,Type 3,76,76,0,,,1.0,0.0,,,
2015-03-01,S08000022,Type 1,703,666,37,1.0,0.0,0.9473684210526315,0.05263157894736842,0.001422475106685633,0.0,
2015-03-01,S08000022,Type 3,331,331,0,,,1.0,0.0,,,
